,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3847882114945238,,Intercept,311.27262342600596,311.0,-0.2726234260059641,311.0
1,1,grade:A,1.1661561045023738,3.468719453845794e-38,grade,89.86440393601828,90.0,0.13559606398172264,90.0
2,2,grade:B,0.8943328023167503,8.103915300560417e-49,grade,68.91760364699958,69.0,0.08239635300041925,69.0
3,3,grade:C,0.6993434063928237,2.2099993178430003e-35,grade,53.89165148596773,54.0,0.10834851403227219,54.0
4,4,grade:D,0.5110842567423383,9.223989013224467e-22,grade,39.38433449510761,39.0,-0.3843344951076091,39.0
5,5,grade:E,0.33581025162663164,1.0782571242463963e-12,grade,25.877657357810566,26.0,0.1223426421894338,26.0
6,6,grade:F,0.14550985749658413,0.0029853652802751896,grade,11.213041341772502,11.0,-0.21304134177250234,11.0
7,7,home_ownership:OWN,0.09266289483106106,4.250657706006874e-06,home_ownership,7.1406356137308205,7.0,-0.14063561373082045,7.0
8,8,home_ownership:MORTGAGE,0.10556684395184997,7.176301937932364e-17,home_ownership,8.135018519830028,8.0,-0.13501851983002844,8.0
9,9,addr_state:NM_VA,0.031991376435527026,0.3174675508394682,addr_state,2.465266839809751,2.0,-0.4652668398097508,2.0
10,10,addr_state:NY,0.05597760012162197,0.020859207020625964,addr_state,4.313653763228319,4.0,-0.31365376322831917,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05754903842780362,0.012933612469792924,addr_state,4.434749357687777,4.0,-0.4347493576877772,4.0
12,12,addr_state:CA,0.062378469169728536,0.0032633732597201464,addr_state,4.806907007335,5.0,0.19309299266500002,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07748323189738972,0.0018748952598951056,addr_state,5.970885392283286,6.0,0.029114607716714147,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13437965674890343,2.45095304086288e-09,addr_state,10.35534411580346,10.0,-0.3553441158034598,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10165033969106615,0.0006634315812656066,addr_state,7.833211309329338,8.0,0.16678869067066238,8.0
16,16,addr_state:GA_WA_OR,0.18411820824894087,5.082419812644893e-12,addr_state,14.188214574513744,14.0,-0.18821457451374357,14.0
17,17,addr_state:WI_MT,0.2272677495229333,1.611727951817961e-06,addr_state,17.513333563068553,18.0,0.48666643693144707,18.0
18,18,addr_state:TX,0.22204182891705676,1.3030891777290683e-17,addr_state,17.110622263568516,17.0,-0.11062226356851568,17.0
19,19,addr_state:IL_CT,0.2608684714558177,4.2857270090789693e-19,addr_state,20.102617138964295,20.0,-0.1026171389642947,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32074047787035836,2.5875646176372317e-25,addr_state,24.71637523543465,25.0,0.28362476456534935,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5178750147702895,1.9776221187209e-22,addr_state,39.907632722591465,40.0,0.09236727740853468,40.0
22,22,verification_status:Not Verified,0.08611039060988769,3.76879319138185e-09,verification_status,6.635697309287215,7.0,0.3643026907127851,7.0
23,23,verification_status:Source Verified,-0.011941049981550158,0.37403371940729235,verification_status,-0.9201815561563376,-1.0,-0.07981844384366243,-1.0
24,24,purpose:credit_card,0.302674225786776,8.996473266724895e-27,purpose,23.32418342802498,23.0,-0.32418342802498046,23.0
25,25,purpose:debt_consolidation,0.1987908670058441,1.998233007321742e-14,purpose,15.318894873879294,15.0,-0.3188948738792945,15.0
26,26,purpose:oth__med__vacation,0.21617410800587888,3.639067505687873e-12,purpose,16.658453604406954,17.0,0.34154639559304556,17.0
27,27,purpose:major_purch__car__home_impr,0.26682225533019194,1.2408171212669408e-17,purpose,20.561417840661797,21.0,0.4385821593382033,21.0
28,28,initial_list_status:w,0.05226982012472991,6.238505696510404e-05,initial_list_status,4.027930918696472,4.0,-0.02793091869647224,4.0
29,29,term:36,0.07841069868526739,2.0411504964086917e-08,term,6.042356312635451,6.0,-0.0423563126354507,6.0
30,30,emp_length:1,0.10134958048658936,9.417891931362012e-05,emp_length,7.810034698124175,8.0,0.18996530187582472,8.0
31,31,emp_length:2-4,0.12592986037952322,2.5977175723870954e-11,emp_length,9.704199804005588,10.0,0.29580019599441165,10.0
32,32,emp_length:5-6,0.09109997259994293,2.0935877128805e-05,emp_length,7.02019627104289,7.0,-0.02019627104288979,7.0
33,33,emp_length:7-9,0.06155947036559135,0.003085632773906687,emp_length,4.743794668366019,5.0,0.2562053316339812,5.0
34,34,emp_length:10,0.12641017715073818,6.9296363047003454e-12,emp_length,9.741213185129315,10.0,0.25878681487068533,10.0
35,35,mths_since_issue_d:<38,1.086845171272857,2.1441223945791875e-182,mths_since_issue_d,83.75267522940464,84.0,0.2473247705953554,84.0
36,36,mths_since_issue_d:38-39,0.8870188292015619,1.7158650488585862e-152,mths_since_issue_d,68.35398627891065,68.0,-0.3539862789106536,68.0
37,37,mths_since_issue_d:40-41,0.7850203324666668,2.754240391801788e-126,mths_since_issue_d,60.49394586402759,60.0,-0.49394586402758733,60.0
38,38,mths_since_issue_d:42-48,0.5830378049564978,1.2215221927127267e-89,mths_since_issue_d,44.92910049717405,45.0,0.07089950282595225,45.0
39,39,mths_since_issue_d:49-52,0.4205589821405583,8.24952475964193e-42,mths_since_issue_d,32.40842465608591,32.0,-0.40842465608591283,32.0
40,40,mths_since_issue_d:53-64,0.17599122581125862,1.620881633783514e-09,mths_since_issue_d,13.561946419040295,14.0,0.43805358095970526,14.0
41,41,mths_since_issue_d:65-84,-0.06549758496077347,0.02492023096708088,mths_since_issue_d,-5.047267178917076,-5.0,0.047267178917076436,-5.0
42,42,int_rate:<9.548,0.8564307705991201,8.419070359404516e-30,int_rate,65.99685961014328,66.0,0.0031403898567248234,66.0
43,43,int_rate:9.548-12.025,0.5592094444189981,5.2928120570050975e-36,int_rate,43.09287856410043,43.0,-0.09287856410043105,43.0
44,44,int_rate:12.025-15.74,0.30543220139445426,8.569752053150496e-17,int_rate,23.536714008705555,24.0,0.4632859912944447,24.0
45,45,int_rate:15.74-20.281,0.11263729895692182,0.00010115930494106003,int_rate,8.679870295792178,9.0,0.3201297042078224,9.0
46,46,mths_since_earliest_cr_line:141-164,0.050823812558421146,0.042724384275798596,mths_since_earliest_cr_line,3.916501061637361,4.0,0.08349893836263922,4.0
47,47,mths_since_earliest_cr_line:165-247,0.030359869559624754,0.13623229629945763,mths_since_earliest_cr_line,2.339542340015586,2.0,-0.33954234001558614,2.0
48,48,mths_since_earliest_cr_line:248-270,0.07183003455697877,0.006685375485525042,mths_since_earliest_cr_line,5.535247995739795,6.0,0.46475200426020535,6.0
49,49,mths_since_earliest_cr_line:271-352,0.11419153012494898,1.464719900431978e-06,mths_since_earliest_cr_line,8.799639902068982,9.0,0.20036009793101783,9.0
50,50,mths_since_earliest_cr_line:>352,0.11103702412436355,2.9872904014301803e-05,mths_since_earliest_cr_line,8.556552548359875,9.0,0.4434474516401252,9.0
51,51,inq_last_6mths:0,0.6520283195417773,1.2014068504197366e-13,inq_last_6mths,50.24553407455596,50.0,-0.24553407455596243,50.0
52,52,inq_last_6mths:1-2,0.5063280693664798,8.08967365695309e-09,inq_last_6mths,39.01782100528463,39.0,-0.017821005284631042,39.0
53,53,inq_last_6mths:3-6,0.29583995674940367,0.0008138477274224747,inq_last_6mths,22.797532226688666,23.0,0.2024677733113336,23.0
54,54,acc_now_delinq:>=1,0.20147095043032145,0.05841937717944302,acc_now_delinq,15.525423055234768,16.0,0.47457694476523216,16.0
55,55,annual_inc:20K-30K,-0.06884440980309942,0.10141751950822618,annual_inc,-5.305174690932563,-5.0,0.3051746909325628,-5.0
56,56,annual_inc:30K-40K,-0.007112187896863892,0.8601804641256048,annual_inc,-0.5480677274380602,-1.0,-0.4519322725619398,-1.0
57,57,annual_inc:40K-50K,0.08806597382881373,0.02896887263841594,annual_inc,6.786395247271306,7.0,0.21360475272869373,7.0
58,58,annual_inc:50K-60K,0.15546934037588525,0.00014123010293641157,annual_inc,11.980522632659621,12.0,0.01947736734037875,12.0
59,59,annual_inc:60K-70K,0.23194274325581637,2.8359722752411348e-08,annual_inc,17.87359024190267,18.0,0.12640975809733135,18.0
60,60,annual_inc:70K-80K,0.3044027895249307,9.15852368800174e-13,annual_inc,23.457387164124253,23.0,-0.4573871641242526,23.0
61,61,annual_inc:80K-90K,0.3782281723678295,1.5591878015373583e-17,annual_inc,29.14639740804563,29.0,-0.14639740804562962,29.0
62,62,annual_inc:90K-100K,0.40119747507568376,2.621426389446097e-18,annual_inc,30.91642003940518,31.0,0.08357996059482176,31.0
63,63,annual_inc:100K-120K,0.4804324606900486,5.702820101264572e-26,annual_inc,37.022296195798766,37.0,-0.022296195798766405,37.0
64,64,annual_inc:120K-140K,0.5736503465666155,2.0058066462218673e-28,annual_inc,44.20569961677396,44.0,-0.20569961677396265,44.0
65,65,annual_inc:>140K,0.5078026665418353,1.1368254927731688e-26,annual_inc,39.13145398777937,39.0,-0.13145398777937345,39.0
66,66,dti:<=1.4,0.25013004891678253,0.0027103603654816725,dti,19.275110481015364,19.0,-0.27511048101536417,19.0
67,67,dti:1.4-3.5,0.36652418872084896,1.644174544804939e-07,dti,28.24448426789907,28.0,-0.24448426789907174,28.0
68,68,dti:3.5-7.7,0.3791502844995034,3.1824152929965303e-10,dti,29.217455696687356,29.0,-0.21745569668735598,29.0
69,69,dti:7.7-10.5,0.314783191658579,1.487724230059045e-07,dti,24.257304642371757,24.0,-0.2573046423717571,24.0
70,70,dti:10.5-16.1,0.23746205069412024,4.1103073070242554e-05,dti,18.29891003499715,18.0,-0.2989100349971494,18.0
71,71,dti:16.1-20.3,0.13662867238473955,0.018462256322188283,dti,10.528654060138436,11.0,0.47134593986156403,11.0
72,72,dti:20.3-21.7,0.12581567783520475,0.03818857063725922,dti,9.695400856552963,10.0,0.304599143447037,10.0
73,73,dti:21.7-22.4,0.08782665710628276,0.1750563859547386,dti,6.767953415565299,7.0,0.23204658443470105,7.0
74,74,dti:22.4-35,0.04715398376916265,0.4106311846680226,dti,3.633702750655931,4.0,0.3662972493440688,4.0
75,75,mths_since_last_delinq:Missing,0.11241375280108387,0.031273144105511956,mths_since_last_delinq,8.662643749561354,9.0,0.3373562504386456,9.0
76,76,mths_since_last_delinq:4-30,0.13964511386207065,0.008092580485700674,mths_since_last_delinq,10.761102112609004,11.0,0.23889788739099593,11.0
77,77,mths_since_last_delinq:31-56,0.18536246499962714,0.0005191936823742565,mths_since_last_delinq,14.28409744200643,14.0,-0.2840974420064306,16.0
78,78,mths_since_last_delinq:>=57,0.13808441158993603,0.011563507095433093,mths_since_last_delinq,10.640833840749453,11.0,0.35916615925054707,11.0
79,79,mths_since_last_record:Missing,0.3210666395678852,7.675858413651944e-05,mths_since_last_record,24.74150937178385,25.0,0.2584906282161512,25.0
80,80,mths_since_last_record:3-20,0.4438627064467959,0.000302677830951944,mths_since_last_record,34.204217934690725,34.0,-0.2042179346907247,34.0
81,81,mths_since_last_record:21-31,0.35181714127363917,0.0017599845373574316,mths_since_last_record,27.11115396383466,27.0,-0.11115396383465992,27.0
82,82,mths_since_last_record:32-80,0.5063765328026831,2.9772905007814726e-09,mths_since_last_record,39.021555614905324,39.0,-0.021555614905324205,39.0
83,83,mths_since_last_record:81-86,0.17409573965215988,0.08880834308326323,mths_since_last_record,13.415879581848658,13.0,-0.4158795818486585,13.0
84,84,mths_since_last_record:>86,0.23138181661562124,0.0059212938281133325,mths_since_last_record,17.830365035621664,18.0,0.1696349643783357,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
